mission_command=START
[YDLIDAR] SDK initializing
[YDLIDAR] SDK has been initialized
[YDLIDAR] SDK Version: 1.2.7
[YDLIDAR] Lidar successfully connected [/dev/ttyS3:230400]
[YDLIDAR] Lidar running correctly! The health status: good
Current Lidar Model Code 151
[YDLIDAR] Baseplate device info
Firmware version: 1.2
Hardware version: 1
Model: Tmini Plus
Serial: 2025042300090381
[YDLIDAR] Current scan frequency: 10.00Hz
[YDLIDAR] Current scan frequency: 10.00Hz
[YDLIDAR] Lidar init success, Elapsed time 972 ms
[YDLIDAR] Create thread 0xA69774C0
[YDLIDAR] Successed to start scan mode, Elapsed time 2097 ms
[YDLIDAR] Scan Frequency: 10.00Hz
[YDLIDAR] Fixed Size: 400
[YDLIDAR] Sample Rate: 4.00K
[YDLIDAR] Successed to check the lidar, Elapsed time 0 ms
[2026-07-25 02:20:35][info] [YDLIDAR] Now lidar is scanning...
lidar_state=RUNNING
x=6.34998 y=3.75 yaw=-0.0806933 score=0.985159 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=58414 reason=tracking_pose_accepted
x=6.34998 y=3.75 yaw=-0.0816275 score=0.978498 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=57883 reason=tracking_pose_accepted
x=6.34998 y=3.75 yaw=-0.0825617 score=0.978974 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=59083 reason=tracking_pose_accepted
x=6.29998 y=3.75 yaw=-0.0660426 score=0.974418 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=59416 reason=tracking_pose_accepted
x=6.34998 y=3.75 yaw=-0.0669768 score=0.974351 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=58418 reason=tracking_pose_accepted
x=6.34998 y=3.75 yaw=-0.0679109 score=0.978568 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=59396 reason=tracking_pose_accepted
x=6.34998 y=3.75 yaw=-0.0688451 score=0.976198 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=52810 reason=tracking_pose_accepted
x=6.34998 y=3.75 yaw=-0.0697793 score=0.979936 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=53885 reason=tracking_pose_accepted
x=6.34998 y=3.75 yaw=-0.0707135 score=0.969375 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=53519 reason=tracking_pose_accepted
x=6.34998 y=3.75 yaw=-0.0716477 score=0.98024 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=53561 reason=tracking_pose_accepted
x=6.34998 y=3.75 yaw=-0.0725819 score=0.977352 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=54368 reason=tracking_pose_accepted
x=6.34998 y=3.75 yaw=-0.073516 score=0.984721 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=53013 reason=tracking_pose_accepted
x=6.34998 y=3.75 yaw=-0.0744502 score=0.983804 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=57142 reason=tracking_pose_accepted
x=6.34998 y=3.75 yaw=-0.0753844 score=0.983566 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=58485 reason=tracking_pose_accepted
x=6.34998 y=3.75 yaw=-0.0763186 score=0.980802 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=57401 reason=tracking_pose_accepted
x=6.34998 y=3.75 yaw=-0.0772528 score=0.983626 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=58829 reason=tracking_pose_accepted
x=6.34998 y=3.75 yaw=-0.078187 score=0.975465 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=58166 reason=tracking_pose_accepted
x=6.34998 y=3.75 yaw=-0.0791211 score=0.983499 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=58398 reason=tracking_pose_accepted
x=6.34998 y=3.75 yaw=-0.0800553 score=0.983017 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=56091 reason=tracking_pose_accepted
x=6.29997 y=3.75 yaw=-0.0635362 score=0.9757 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=55493 reason=tracking_pose_accepted
