scan_sequence,timestamp_ns,angle_rad,range_m,intensity
1,1784856755842822000,3.12768459,1.5,44
1,1784856755842822000,3.1140492,1.5,46
1,1784856755842822000,3.10014105,1.48500001,51
1,1784856755842822000,3.08596015,1.48399997,40
1,1784856755842822000,3.07205224,1.50899994,46
1,1784856755842822000,3.05787134,1.52499998,41
1,1784856755842822000,3.04369044,1.53299999,45
1,1784856755842822000,3.02978253,1.54799998,44
1,1784856755842822000,3.01560163,1.55299997,44
1,1784856755842822000,3.00169349,1.57099998,30
1,1784856755842822000,2.98751283,1.56599998,16
1,1784856755842822000,2.97333193,1.58800006,25
1,1784856755842822000,2.95942378,1.56700003,11
1,1784856755842822000,2.94524312,1.60699999,26
1,1784856755842822000,2.93106222,1.62699997,33
1,1784856755842822000,2.91715407,1.64400005,32
1,1784856755842822000,2.90297341,1.63499999,15
1,1784856755842822000,2.88906527,0,34
1,1784856755842822000,2.87488437,1.69599998,37
1,1784856755842822000,2.86070371,1.71000004,38
1,1784856755842822000,2.84679556,1.71099997,40
1,1784856755842822000,2.83261466,0,35
1,1784856755842822000,2.81870675,1.76499999,28
1,1784856755842822000,2.80452585,1.796,37
1,1784856755842822000,2.79034495,1.84099996,31
1,1784856755842822000,2.77643704,1.83899999,35
1,1784856755842822000,2.76225615,0,35
1,1784856755842822000,2.74807549,1.91299999,43
1,1784856755842822000,2.73416734,1.94000006,42
1,1784856755842822000,2.71998644,1.96599996,42
1,1784856755842822000,2.70607829,1.99800003,42
1,1784856755842822000,2.69189763,2.02800012,41
1,1784856755842822000,2.67771673,2.06500006,40
1,1784856755842822000,2.66380858,2.09899998,39
1,1784856755842822000,2.64962792,2.13700008,38
1,1784856755842822000,2.63571978,2.171,38
1,1784856755842822000,2.62153912,2.21099997,38
1,1784856755842822000,2.60735822,2.25300002,38
1,1784856755842822000,2.59345007,2.29299998,36
1,1784856755842822000,2.57926941,2.34100008,36
1,1784856755842822000,2.56508851,2.38899994,34
1,1784856755842822000,2.55145311,2.44000006,34
1,1784856755842822000,2.53754497,2.49000001,32
1,1784856755842822000,2.52336431,2.5480001,32
1,1784856755842822000,2.50918341,2.60500002,32
1,1784856755842822000,2.49500275,2.66700006,32
1,1784856755842822000,2.48082185,2.71700001,39
1,1784856755842822000,2.4669137,2.69499993,39
1,1784856755842822000,2.45273304,2.6789999,38
1,1784856755842822000,2.43855214,2.65799999,39
1,1784856755842822000,2.42437124,2.6400001,40
1,1784856755842822000,2.41019058,2.62599993,40
1,1784856755842822000,2.39600968,2.60599995,40
1,1784856755842822000,2.38210177,2.59299994,40
1,1784856755842822000,2.36792088,2.57299995,41
1,1784856755842822000,2.35373998,2.55999994,40
1,1784856755842822000,2.33955932,2.54999995,40
1,1784856755842822000,2.32537842,2.53600001,40
1,1784856755842822000,2.31147027,2.52099991,40
1,1784856755842822000,2.29728961,2.50600004,39
1,1784856755842822000,2.28310895,2.49399996,39
1,1784856755842822000,2.26892781,2.48200011,39
1,1784856755842822000,2.25474715,2.47199988,39
1,1784856755842822000,2.24056649,2.46099997,39
1,1784856755842822000,2.22665811,2.45099998,39
1,1784856755842822000,2.21247745,2.43899989,39
1,1784856755842822000,2.19829679,2.43400002,40
1,1784856755842822000,2.18411565,2.41899991,39
1,1784856755842822000,2.16993499,2.41199994,40
1,1784856755842822000,2.15602708,2.40700006,41
1,1784856755842822000,2.14184594,2.398,41
1,1784856755842822000,2.12766528,2.39199996,42
1,1784856755842822000,2.11348462,2.38499999,42
1,1784856755842822000,2.09930396,2.38400006,42
1,1784856755842822000,2.08512282,2.37400007,42
1,1784856755842822000,2.07121491,2.37299991,42
1,1784856755842822000,2.05703425,2.36899996,42
1,1784856755842822000,2.04285312,2.36400008,42
1,1784856755842822000,2.02867246,2.36500001,41
1,1784856755842822000,2.0144918,2.3599999,43
1,1784856755842822000,2.00031066,2.35899997,42
1,1784856755842822000,1.98667562,2.35500002,38
1,1784856755842822000,1.97276771,2.36199999,36
1,1784856755842822000,1.95858657,2.35500002,34
1,1784856755842822000,1.94440591,2.3599999,36
1,1784856755842822000,1.930498,2.35500002,41
1,1784856755842822000,1.91631687,2.35800004,40
1,1784856755842822000,1.90213621,2.35400009,40
1,1784856755842822000,1.88795555,2.36199999,40
1,1784856755842822000,1.87404716,2.36400008,40
1,1784856755842822000,1.8598665,2.36800003,40
1,1784856755842822000,1.84568584,2.37100005,40
1,1784856755842822000,1.8315047,2.37400007,41
1,1784856755842822000,1.81759679,2.3829999,41
1,1784856755842822000,1.80341613,2.38700008,40
1,1784856755842822000,1.789235,2.38899994,41
1,1784856755842822000,1.77505434,2.40300012,41
1,1784856755842822000,1.76114643,2.4059999,41
1,1784856755842822000,1.74696529,2.41499996,40
1,1784856755842822000,1.73278463,2.42799997,41
1,1784856755842822000,1.71860397,2.43199992,41
1,1784856755842822000,1.70469606,2.44099998,41
1,1784856755842822000,1.69051492,2.44799995,41
1,1784856755842822000,1.67633426,2.46199989,41
1,1784856755842822000,1.6621536,2.47300005,41
1,1784856755842822000,1.64824522,2.48399997,40
1,1784856755842822000,1.63406456,2.49699998,40
1,1784856755842822000,1.61988389,2.50699997,40
1,1784856755842822000,1.60570276,2.52399993,39
1,1784856755842822000,1.59179485,2.53500009,39
1,1784856755842822000,1.57761419,2.54900002,40
1,1784856755842822000,1.56343305,2.56599998,39
1,1784856755842822000,1.54925239,2.57999992,40
1,1784856755842822000,1.53534448,2.59599996,39
1,1784856755842822000,1.52116334,2.6170001,39
1,1784856755842822000,1.50698268,2.63199997,39
1,1784856755842822000,1.49280202,2.65499997,39
1,1784856755842822000,1.47889364,2.67199993,38
1,1784856755842822000,1.46471298,2.6960001,39
1,1784856755842822000,1.45053232,2.7190001,39
1,1784856755842822000,1.43635166,2.72000003,36
1,1784856755842822000,1.42271602,0,33
1,1784856755842822000,1.40880811,2.5999999,33
1,1784856755842822000,1.39462698,2.54699993,34
1,1784856755842822000,1.38071907,2.49099994,34
1,1784856755842822000,1.36653841,2.44099998,35
1,1784856755842822000,1.35263002,2.38899994,35
