timestamp_ms,marker_id,zone,truth_x_m,truth_y_m,truth_yaw_rad,estimate_x_m,estimate_y_m,estimate_yaw_rad,score,valid,position_error_m,heading_error_deg
1784779859983,M1,room_1,1.65,1.35,1.4852751934471744,1.6500002145767212,1.349991798400879,1.4941915273666382,0.9815807938575745,true,0.000008204405603936097,0.5108683023146139
1784779879567,M1,room_1,1.65,1.35,1.4852751934471744,1.6499897241592407,1.3499797582626343,1.50869882106781,0.9812963604927063,true,0.000022700679172542143,1.3420750035484856
1784779892203,M1,room_1,1.65,1.35,1.4852751934471744,1.6499882936477661,1.3499698638916016,1.49666428565979,0.9805042147636414,true,0.00003232991976528049,0.6525469162681884
1784779905361,M1,room_1,1.65,1.35,1.4852751934471744,1.6499963998794556,1.349994421005249,1.4864054918289185,0.9815878868103027,true,0.0000066397327029202305,0.06476132686440111
1784779929775,M1,room_1,1.65,1.35,1.4852751934471744,1.6500002145767212,1.3499952554702759,1.4894953966140747,0.981903612613678,true,0.00000474937948296688,0.24179983015113163
1784779938464,M1,room_1,1.65,1.35,1.4852751934471744,1.6500002145767212,1.34998619556427,1.49550199508667,0.9815329909324646,true,0.000013806103324071168,0.5859525718605642
1784779947332,M1,room_1,1.65,1.35,1.4852751934471744,1.6500002145767212,1.3499962091445923,1.4866794347763062,0.9818348288536072,true,0.0000037969234772628262,0.08045710157709042
1784779960012,M1,room_1,1.65,1.35,1.4852751934471744,1.6499954462051392,1.3499916791915894,1.4921003580093384,0.9815491437911987,true,0.000009485404590313124,0.3910531238942503
1784779967892,M1,room_1,1.65,1.35,1.4852751934471744,1.6499954462051392,1.3499834537506104,1.4890594482421875,0.9833282828330994,true,0.000017161451468368953,0.216821828356395
1784779973222,M1,room_1,1.65,1.35,1.4852751934471744,1.6499954462051392,1.3499784469604492,1.4919167757034302,0.9817876219749451,true,0.000022028857471852047,0.38053463257243064
