scan_sequence,timestamp_ns,angle_rad,range_m,intensity
1,1784943342966878000,3.12550282,1.48699999,52.0000000
1,1784943342966878000,3.11241293,1.49000001,52.0000000
1,1784943342966878000,3.09905028,1.49000001,52.0000000
1,1784943342966878000,3.08568740,1.49000001,53.0000000
1,1784943342966878000,3.07232475,1.49600005,53.0000000
1,1784943342966878000,3.05896211,1.49699998,53.0000000
1,1784943342966878000,3.04559946,1.49899995,53.0000000
1,1784943342966878000,3.03223681,1.50399995,53.0000000
1,1784943342966878000,3.01887417,1.50600004,53.0000000
1,1784943342966878000,3.00551152,1.50899994,53.0000000
1,1784943342966878000,2.99214888,1.51300001,53.0000000
1,1784943342966878000,2.97878599,1.51499999,54.0000000
1,1784943342966878000,2.96542335,1.51800001,53.0000000
1,1784943342966878000,2.95206070,1.52300000,52.0000000
1,1784943342966878000,2.93842530,1.52800000,53.0000000
1,1784943342966878000,2.92506266,1.53299999,52.0000000
1,1784943342966878000,2.91170001,1.53900003,52.0000000
1,1784943342966878000,2.89833736,1.54200006,52.0000000
1,1784943342966878000,2.88497472,1.54600000,52.0000000
1,1784943342966878000,2.87161207,1.55499995,51.0000000
1,1784943342966878000,2.85824919,1.55999994,51.0000000
1,1784943342966878000,2.84488654,1.56500006,49.0000000
1,1784943342966878000,2.83152390,0.00000000,31.0000000
1,1784943342966878000,2.81816125,3.05100012,34.0000000
1,1784943342966878000,2.80479860,3.06399989,34.0000000
1,1784943342966878000,2.79143596,3.07800007,34.0000000
1,1784943342966878000,2.77807331,3.09500003,34.0000000
1,1784943342966878000,2.76443791,3.10599995,33.0000000
1,1784943342966878000,2.75107527,3.12299991,32.0000000
1,1784943342966878000,2.73771238,3.14299989,34.0000000
1,1784943342966878000,2.72434974,3.16100001,33.0000000
1,1784943342966878000,2.71098709,3.17899990,33.0000000
1,1784943342966878000,2.69762444,3.20000005,33.0000000
1,1784943342966878000,2.68426180,3.22099996,32.0000000
1,1784943342966878000,2.67089915,3.24399996,31.0000000
1,1784943342966878000,2.65753651,3.23799992,23.0000000
1,1784943342966878000,2.64417362,0.00000000,13.0000000
1,1784943342966878000,2.63081098,3.10700011,14.0000000
1,1784943342966878000,2.61744833,3.02699995,14.0000000
1,1784943342966878000,2.60408568,2.96000004,12.0000000
1,1784943342966878000,2.59045029,2.89700007,15.0000000
1,1784943342966878000,2.57736039,2.82900000,13.0000000
1,1784943342966878000,2.56399775,2.77200007,15.0000000
1,1784943342966878000,2.55063510,2.71700001,17.0000000
1,1784943342966878000,2.53727245,2.66100001,16.0000000
1,1784943342966878000,2.52390957,2.60800004,9.00000000
1,1784943342966878000,2.51054692,2.54399991,7.00000000
1,1784943342966878000,2.49718428,2.47799993,28.0000000
1,1784943342966878000,2.48382163,2.43199992,33.0000000
1,1784943342966878000,2.47045898,2.39000010,35.0000000
1,1784943342966878000,2.45709634,2.35299993,36.0000000
1,1784943342966878000,2.44346094,2.31599998,38.0000000
1,1784943342966878000,2.43009830,2.27800012,39.0000000
1,1784943342966878000,2.41673565,2.24600005,39.0000000
1,1784943342966878000,2.40337276,2.21600008,40.0000000
1,1784943342966878000,2.39001012,2.18799996,40.0000000
1,1784943342966878000,2.37664747,2.15799999,40.0000000
1,1784943342966878000,2.36328483,2.13199997,41.0000000
1,1784943342966878000,2.34992218,2.10999990,41.0000000
1,1784943342966878000,2.33655953,2.08200002,41.0000000
1,1784943342966878000,2.32319689,2.05699992,41.0000000
1,1784943342966878000,2.30956149,2.03099990,40.0000000
1,1784943342966878000,2.29619884,2.00999999,37.0000000
1,1784943342966878000,2.28283620,1.98599994,37.0000000
1,1784943342966878000,2.26947331,1.96700001,34.0000000
1,1784943342966878000,2.25611091,1.94400001,41.0000000
1,1784943342966878000,2.24274802,1.92600000,42.0000000
1,1784943342966878000,2.22938514,1.90499997,41.0000000
1,1784943342966878000,2.21602273,1.88399994,42.0000000
1,1784943342966878000,2.20265985,1.86500001,42.0000000
1,1784943342966878000,2.18929744,1.84700000,39.0000000
1,1784943342966878000,2.17566180,1.82900000,27.0000000
1,1784943342966878000,2.16229939,1.81500006,42.0000000
1,1784943342966878000,2.14893651,1.80200005,40.0000000
1,1784943342966878000,2.13557410,1.78600001,36.0000000
1,1784943342966878000,2.12221122,1.77699995,38.0000000
1,1784943342966878000,2.10884833,1.75999999,45.0000000
1,1784943342966878000,2.09548593,1.74300003,46.0000000
1,1784943342966878000,2.08212304,1.73000002,47.0000000
1,1784943342966878000,2.06876063,1.71899998,45.0000000
1,1784943342966878000,2.05512500,1.70599997,47.0000000
1,1784943342966878000,2.04203534,1.69299996,46.0000000
1,1784943342966878000,2.02867246,1.68700004,45.0000000
1,1784943342966878000,2.01503730,1.67499995,43.0000000
1,1784943342966878000,2.00140166,1.66600001,46.0000000
1,1784943342966878000,1.98803890,1.65499997,45.0000000
1,1784943342966878000,1.97440374,1.64699996,45.0000000
1,1784943342966878000,1.96076858,1.63900006,45.0000000
1,1784943342966878000,1.94740570,1.63100004,45.0000000
1,1784943342966878000,1.93377006,1.62199998,45.0000000
1,1784943342966878000,1.92013490,1.61600006,45.0000000
1,1784943342966878000,1.90677202,1.60800004,45.0000000
1,1784943342966878000,1.89313686,1.60000002,45.0000000
1,1784943342966878000,1.87950170,1.59399998,45.0000000
