mission_command=START
[YDLIDAR] SDK initializing
[YDLIDAR] SDK has been initialized
[YDLIDAR] SDK Version: 1.2.7
[YDLIDAR] Lidar successfully connected [/dev/ttyS3:230400]
[YDLIDAR] Lidar running correctly! The health status: good
Current Lidar Model Code 151
[YDLIDAR] Baseplate device info
Firmware version: 1.2
Hardware version: 1
Model: Tmini Plus
Serial: 2025042300090381
[YDLIDAR] Current scan frequency: 10.00Hz
[YDLIDAR] Current scan frequency: 10.00Hz
[YDLIDAR] Lidar init success, Elapsed time 989 ms
[YDLIDAR] Create thread 0xA69B64C0
[YDLIDAR] Successed to start scan mode, Elapsed time 2097 ms
[YDLIDAR] Scan Frequency: 10.00Hz
[YDLIDAR] Fixed Size: 400
[YDLIDAR] Sample Rate: 4.00K
[YDLIDAR] Successed to check the lidar, Elapsed time 0 ms
[2026-07-23 07:55:17][info] [YDLIDAR] Now lidar is scanning...
lidar_state=RUNNING
x=6.19998 y=4.55 yaw=-3.11757 score=0.919597 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=42577 reason=tracking_pose_accepted
x=6.19998 y=4.5 yaw=-3.13596 score=0.921412 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=43516 reason=tracking_pose_accepted
x=6.24998 y=4.5 yaw=-3.13689 score=0.925375 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=43719 reason=tracking_pose_accepted
x=6.24998 y=4.5 yaw=-3.13783 score=0.921569 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=43389 reason=tracking_pose_accepted
x=6.24998 y=4.5 yaw=-3.13876 score=0.926748 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=43380 reason=tracking_pose_accepted
x=6.19998 y=4.5 yaw=-3.1397 score=0.922155 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=43507 reason=tracking_pose_accepted
x=6.19998 y=4.5 yaw=-3.14063 score=0.924033 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=43305 reason=tracking_pose_accepted
x=6.19998 y=4.5 yaw=-3.14157 score=0.922567 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=43072 reason=tracking_pose_accepted
x=6.24998 y=4.5 yaw=-3.1425 score=0.920931 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=43065 reason=tracking_pose_accepted
x=6.24998 y=4.5 yaw=-3.14343 score=0.92765 valid=1 mode=tracking state=TRACKING evaluated=789 execution_us=43202 reason=tracking_pose_accepted
