trigger_marker,occluder_direction,started_unix_ms,ended_unix_ms,duration_ms,duration_valid,scan_count,accepted_scan_rate,score_minimum,score_mean,score_p95,degraded_scan_count,lost_scan_count,recovered_scan_count,recovery_tracking_ms,checkpoint_position_error_m,checkpoint_heading_error_deg,maximum_position_drift_m,maximum_heading_drift_deg,robot_stationary,object_detection_available,object_passing_detected,observed_pass_direction,left_excess_points,center_excess_points,right_excess_points,minimum_front_range_m
M2,LEFT_TO_RIGHT,1784946431392,1784946435393,4001,true,40,1,0.922225595,0.9659201889749998,0.9929735359499999,0,0,0,97,0.0016672903589123593,0.18445480806489495,0.000018176339015349634,0.8733545136301604,true,true,false,UNRESOLVED,1,0,1,0.751999974
M3,LEFT_TO_RIGHT,1784946464285,1784946468286,4001,true,40,1,0.912922621,0.9471494808750001,0.9805719196,0,0,0,55,0.04809612207887185,0.05944996653579099,0.05001640069699601,1.070487438324371,true,true,false,UNRESOLVED,0,0,0,0.800999999
M4,LEFT_TO_RIGHT,1784946497234,1784946501235,4001,true,33,0.9090909090909091,0.883728027,0.9552957398181816,0.9928500894,2,1,3,58,0.0020450738556067887,0.14447899151327973,0.0020973292060378046,0.7689311678392473,true,true,false,UNRESOLVED,0,0,0,1.46500003
M5,LEFT_TO_RIGHT,1784946544460,1784946548460,4000,true,40,1,0.913061678,0.9438842355999999,0.9582378630499999,0,0,0,75,0.0001909423236304362,0.41957169052471327,0.05001068027451711,0.9464751066954367,true,true,true,RIGHT_TO_LEFT,11,9,23,0.44600001
M6,LEFT_TO_RIGHT,1784946574085,1784946578085,4000,true,40,1,0.939969838,0.97019646615,0.9933724643499999,0,0,0,19,0.00023692329718998187,0.34717125843575497,0,0.7663164921299017,true,true,false,UNRESOLVED,20,0,0,0.455000013
M7,LEFT_TO_RIGHT,1784946593677,1784946597678,4001,true,40,1,0.902113974,0.9384731039000004,0.9830138473000001,0,0,0,9,0.0002067324186108389,0.2220494499171145,0.00000929999999987885,0.6958174101604668,true,true,false,UNRESOLVED,0,0,10,0.578000009
