scan_sequence,timestamp_ns,angle_rad,range_m,intensity
1,1784943234102109000,3.13013887,3.18099999,35.0000000
1,1784943234102109000,3.11650348,3.18300009,34.0000000
1,1784943234102109000,3.10259533,3.18300009,35.0000000
1,1784943234102109000,3.08868718,3.18700004,34.0000000
1,1784943234102109000,3.07477927,3.19600010,34.0000000
1,1784943234102109000,3.06087112,3.20000005,32.0000000
1,1784943234102109000,3.04696298,3.19899988,32.0000000
1,1784943234102109000,3.03305483,3.20099998,31.0000000
1,1784943234102109000,3.01914692,3.20700002,30.0000000
1,1784943234102109000,3.00523877,3.21300006,31.0000000
1,1784943234102109000,2.99133062,3.22399998,30.0000000
1,1784943234102109000,2.97742248,3.22700000,32.0000000
1,1784943234102109000,2.96351457,3.23900008,34.0000000
1,1784943234102109000,2.94960642,3.24699998,34.0000000
1,1784943234102109000,2.93569827,3.25200009,34.0000000
1,1784943234102109000,2.92179012,3.26200008,34.0000000
1,1784943234102109000,2.90788198,3.26999998,34.0000000
1,1784943234102109000,2.89397407,3.27900004,34.0000000
1,1784943234102109000,2.88006592,3.29299998,33.0000000
1,1784943234102109000,2.86615777,3.28500009,26.0000000
1,1784943234102109000,2.85224962,0.00000000,11.0000000
1,1784943234102109000,2.83834171,3.04600000,8.00000000
1,1784943234102109000,2.82443357,2.90700006,8.00000000
1,1784943234102109000,2.81052542,2.77999997,9.00000000
1,1784943234102109000,2.79661727,2.67400002,10.0000000
1,1784943234102109000,2.78270936,2.55900002,9.00000000
1,1784943234102109000,2.76880121,2.41799998,20.0000000
1,1784943234102109000,2.75489306,2.33800006,29.0000000
1,1784943234102109000,2.74098492,2.26399994,31.0000000
1,1784943234102109000,2.72707677,2.19600010,32.0000000
1,1784943234102109000,2.71316886,2.13199997,33.0000000
1,1784943234102109000,2.69926071,2.07800007,35.0000000
1,1784943234102109000,2.68535256,2.01999998,36.0000000
1,1784943234102109000,2.67144442,1.97200000,37.0000000
1,1784943234102109000,2.65753651,1.92400002,37.0000000
1,1784943234102109000,2.64362836,1.87399995,35.0000000
1,1784943234102109000,2.62972021,1.82799995,31.0000000
1,1784943234102109000,2.61581206,1.78900003,28.0000000
1,1784943234102109000,2.60190415,1.74899995,40.0000000
1,1784943234102109000,2.58799601,1.71200001,40.0000000
1,1784943234102109000,2.57381511,1.67499995,38.0000000
1,1784943234102109000,2.56017971,1.63999999,35.0000000
1,1784943234102109000,2.54627180,1.58700001,34.0000000
1,1784943234102109000,2.53236365,1.56299996,39.0000000
1,1784943234102109000,2.51818275,1.53499997,37.0000000
1,1784943234102109000,2.50427461,1.51900005,42.0000000
1,1784943234102109000,2.49009395,1.49199998,39.0000000
1,1784943234102109000,2.47618580,1.46300006,44.0000000
1,1784943234102109000,2.46200490,1.43900001,44.0000000
1,1784943234102109000,2.44809699,1.41299999,45.0000000
1,1784943234102109000,2.43391609,1.38900006,45.0000000
1,1784943234102109000,2.42000794,1.36600006,44.0000000
1,1784943234102109000,2.40582728,1.35000002,47.0000000
1,1784943234102109000,2.39191914,1.33299994,49.0000000
1,1784943234102109000,2.37773824,1.31599998,49.0000000
1,1784943234102109000,2.36383033,1.29999995,49.0000000
1,1784943234102109000,2.34992218,1.28400004,50.0000000
1,1784943234102109000,2.33574128,1.26800001,50.0000000
1,1784943234102109000,2.32183337,1.25399995,50.0000000
1,1784943234102109000,2.30765247,1.23899996,51.0000000
1,1784943234102109000,2.29374433,1.22200000,50.0000000
1,1784943234102109000,2.27956367,1.21099997,51.0000000
1,1784943234102109000,2.26565528,1.19500005,50.0000000
1,1784943234102109000,2.25147462,1.18400002,50.0000000
1,1784943234102109000,2.23756671,1.16999996,50.0000000
1,1784943234102109000,2.22338557,1.15600002,50.0000000
1,1784943234102109000,2.20947766,1.14699996,50.0000000
1,1784943234102109000,2.19529700,1.13300002,50.0000000
1,1784943234102109000,2.18138862,1.12000000,50.0000000
1,1784943234102109000,2.16748071,1.11099994,50.0000000
1,1784943234102109000,2.15330005,1.10099995,50.0000000
1,1784943234102109000,2.13939166,1.09200001,52.0000000
1,1784943234102109000,2.12521100,1.07799995,51.0000000
1,1784943234102109000,2.11130309,1.06799996,52.0000000
1,1784943234102109000,2.09712195,1.06200004,49.0000000
1,1784943234102109000,2.08321404,1.05599999,54.0000000
1,1784943234102109000,2.06903338,1.03999996,51.0000000
1,1784943234102109000,2.05512500,1.03400004,51.0000000
1,1784943234102109000,2.04094434,1.02900004,51.0000000
1,1784943234102109000,2.02703643,1.02600002,52.0000000
1,1784943234102109000,2.01285529,1.01600003,51.0000000
1,1784943234102109000,1.99922025,1.01199996,52.0000000
1,1784943234102109000,1.98531187,1.00100005,51.0000000
1,1784943234102109000,1.97140396,0.999000013,52.0000000
1,1784943234102109000,1.95749605,0.990999997,51.0000000
1,1784943234102109000,1.94358766,0.989000022,52.0000000
1,1784943234102109000,1.92967975,0.980000019,51.0000000
1,1784943234102109000,1.91577137,0.973999977,51.0000000
1,1784943234102109000,1.90186346,0.972000003,52.0000000
1,1784943234102109000,1.88795555,0.966000021,51.0000000
1,1784943234102109000,1.87404716,0.963999987,52.0000000
1,1784943234102109000,1.86013925,0.953999996,52.0000000
1,1784943234102109000,1.84623134,0.949999988,53.0000000
1,1784943234102109000,1.83232296,0.947000027,54.0000000
1,1784943234102109000,1.81841505,0.948000014,56.0000000
1,1784943234102109000,1.80450666,0.941999972,57.0000000
1,1784943234102109000,1.79059875,0.940999985,57.0000000
1,1784943234102109000,1.77669084,0.935000002,56.0000000
1,1784943234102109000,1.76278245,0.934000015,57.0000000
1,1784943234102109000,1.74887455,0.933000028,58.0000000
1,1784943234102109000,1.73496616,0.930000007,57.0000000
1,1784943234102109000,1.72078550,0.925000012,55.0000000
1,1784943234102109000,1.70687759,0.930000007,57.0000000
1,1784943234102109000,1.69296920,0.925000012,56.0000000
1,1784943234102109000,1.67906129,0.925000012,55.0000000
1,1784943234102109000,1.66515338,0.925000012,56.0000000
1,1784943234102109000,1.65124500,0.920000017,55.0000000
1,1784943234102109000,1.63733709,0.920000017,56.0000000
1,1784943234102109000,1.62342870,0.921000004,57.0000000
1,1784943234102109000,1.60952079,0.920000017,56.0000000
1,1784943234102109000,1.59561288,0.921999991,56.0000000
1,1784943234102109000,1.58170450,0.920000017,56.0000000
1,1784943234102109000,1.56779659,0.921999991,56.0000000
1,1784943234102109000,1.55388868,0.950999975,61.0000000
1,1784943234102109000,1.53998029,0.953000009,60.0000000
1,1784943234102109000,1.52607238,0.981999993,39.0000000
1,1784943234102109000,1.51216400,0.00000000,30.0000000
1,1784943234102109000,1.49825609,0.00000000,31.0000000
1,1784943234102109000,1.48434818,3.86899996,31.0000000
1,1784943234102109000,1.47043979,3.87199998,31.0000000
1,1784943234102109000,1.45625913,3.88100004,30.0000000
1,1784943234102109000,1.44262397,3.88899994,31.0000000
1,1784943234102109000,1.42898834,3.89599991,30.0000000
1,1784943234102109000,1.41508043,3.91100001,30.0000000
1,1784943234102109000,1.40117204,3.92199993,30.0000000
1,1784943234102109000,1.38726413,3.93400002,29.0000000
1,1784943234102109000,1.37335575,3.94700003,29.0000000
1,1784943234102109000,1.35944784,3.96000004,28.0000000
1,1784943234102109000,1.34553993,3.97700000,28.0000000
1,1784943234102109000,1.33190429,3.99399996,29.0000000
1,1784943234102109000,1.31799638,4.00500011,28.0000000
1,1784943234102109000,1.30408800,4.02199984,28.0000000
1,1784943234102109000,1.29018009,4.03999996,27.0000000
1,1784943234102109000,1.27627218,4.05999994,27.0000000
1,1784943234102109000,1.26236379,4.08199978,26.0000000
1,1784943234102109000,1.24845588,4.10500002,25.0000000
1,1784943234102109000,1.23454797,4.12500000,28.0000000
1,1784943234102109000,1.22091234,4.14699984,27.0000000
1,1784943234102109000,1.20700443,4.17000008,26.0000000
1,1784943234102109000,1.19309604,4.19700003,26.0000000
1,1784943234102109000,1.17918813,4.21999979,26.0000000
1,1784943234102109000,1.16528022,4.25500011,26.0000000
1,1784943234102109000,1.15137184,4.28100014,25.0000000
1,1784943234102109000,1.13746393,4.31500006,22.0000000
1,1784943234102109000,1.12355602,4.34100008,25.0000000
1,1784943234102109000,1.10992038,4.37200022,25.0000000
1,1784943234102109000,1.09601247,4.40799999,25.0000000
1,1784943234102109000,1.08210409,4.44099998,24.0000000
1,1784943234102109000,1.06819618,4.48099995,25.0000000
1,1784943234102109000,1.05428827,4.51900005,24.0000000
1,1784943234102109000,1.04037988,4.56300020,23.0000000
1,1784943234102109000,1.02647197,4.60699987,23.0000000
1,1784943234102109000,1.01256359,4.64799976,24.0000000
1,1784943234102109000,0.998928368,4.69299984,22.0000000
1,1784943234102109000,0.985020459,4.73999977,22.0000000
1,1784943234102109000,0.971112072,4.78999996,22.0000000
1,1784943234102109000,0.957204163,4.84100008,22.0000000
1,1784943234102109000,0.943295777,4.88999987,21.0000000
1,1784943234102109000,0.929387867,4.93599987,13.0000000
1,1784943234102109000,0.915479958,0.00000000,29.0000000
1,1784943234102109000,0.901571572,1.33500004,34.0000000
1,1784943234102109000,0.887936413,1.30400002,27.0000000
1,1784943234102109000,0.874028027,0.00000000,18.0000000
1,1784943234102109000,0.859847367,1.18900001,45.0000000
1,1784943234102109000,0.845939457,1.13800001,23.0000000
1,1784943234102109000,0.831758320,1.09200001,35.0000000
