variant,global_relocalization,multi_resolution,execution_target,scans,accepted_scans,rejected_scans,accepted_scan_rate,rejected_scan_rate,success,success_rate,execution_time_mean_ms,execution_time_p95_ms,scan_cycle_mean_ms,cpu_mean_percent,peak_rss_kb,candidate_count_mean,candidate_count_p95,global_candidate_acquisition_ms,recovery_time_ms,final_position_error_m,final_heading_error_deg,false_recovery_count
local_only_single,false,false,host,395,324,71,0.8202531645569621,0.17974683544303796,false,0,71.14524303797467,108.2123,71.1484151898734,100.00669200683548,44540,18081,18081,,,,,0
local_only_multi,false,true,host,395,324,71,0.8202531645569621,0.17974683544303796,false,0,3.4340050632911394,5.1687,3.4354556962025367,100.11925295265813,44540,806.8784810126582,831,,,,,0
local_global_single,true,false,host,395,324,71,0.8202531645569621,0.17974683544303796,false,0,555.357759493671,3023.4731000000006,555.360129113924,100.00549939544308,44540,123670.13924050632,650016,,,,,0
local_global_multi,true,true,host,395,388,7,0.9822784810126582,0.017721518987341773,true,1,3.3154708860759485,4.1125,3.316415189873417,100.11689887215192,45900,928.526582278481,831,,985,0.0001277934638288848,0.0988302781631552,0
