variant,global_relocalization,multi_resolution,execution_target,scans,accepted_scans,rejected_scans,accepted_scan_rate,rejected_scan_rate,success,success_rate,execution_time_mean_ms,execution_time_p95_ms,scan_cycle_mean_ms,cpu_mean_percent,peak_rss_kb,candidate_count_mean,candidate_count_p95,global_candidate_acquisition_ms,recovery_time_ms,final_position_error_m,final_heading_error_deg,false_recovery_count
local_only_single,false,false,host,485,171,314,0.3525773195876289,0.6474226804123712,false,0,67.6612927835052,92.79140000000001,67.66402680412374,100.00540645814432,35460,18081,18081,,,,,0
local_only_multi,false,true,host,485,375,110,0.7731958762886598,0.2268041237113402,false,0,3.0203917525773196,4.1722,3.0211835051546405,100.10718253381437,35460,815.2515463917525,831,,,,,0
local_global_single,true,false,host,485,375,110,0.7731958762886598,0.2268041237113402,false,0,769.3973773195875,3489.6872000000008,769.3999381443302,100.0044277764949,35460,158165.07216494845,665136,,,,,0
local_global_multi,true,true,host,485,478,7,0.9855670103092784,0.01443298969072165,true,1,3.800707216494843,5.568600000000001,3.8018536082474217,100.10291221628871,31216,898.9484536082474,831,,365,0.049992799704997565,1.941064839108302,0
